date,website_traffic,conversion_rate,average_order_value,ad_spend,refund_rate,orders,revenue,new_customers,returning_customers,customer_acquisition_cost,gross_profit,profit_margin
2023-09-21,5878,0.0251,71.59,1142.81,0.0331,147,10523.74,103,44,11.1,6314.24,0.6
2023-09-22,6037,0.0272,69.99,1226.75,0.0253,164,11478.67,119,45,10.31,6887.2,0.6
2023-09-23,5042,0.0216,73.59,1217.64,0.0354,108,7948.21,75,33,16.24,4768.92,0.6
2023-09-24,5622,0.0281,83.99,1248.2,0.0273,157,13186.18,110,47,11.35,7911.71,0.6
2023-09-25,5814,0.0247,78.2,1226.03,0.034,143,11183.2,102,41,12.02,6709.92,0.6
2023-09-26,6016,0.0241,72.14,1172.23,0.0318,145,10460.9,99,46,11.84,6276.54,0.6
2023-09-27,6134,0.023,77.86,1281.53,0.0392,140,10900.81,91,49,14.08,6540.48,0.6
2023-09-28,6400,0.0217,82.0,1214.6,0.0289,138,11315.56,97,41,12.52,6789.33,0.6
2023-09-29,5829,0.0266,79.62,1221.99,0.0283,155,12341.59,111,44,11.01,7404.95,0.6
2023-09-30,5553,0.0251,75.3,1177.51,0.0299,139,10466.44,93,46,12.66,6279.87,0.6
2023-10-01,5327,0.0224,71.77,1202.84,0.0285,119,8540.07,84,35,14.32,5124.04,0.6
2023-10-02,5932,0.0224,78.49,1181.58,0.034,132,10360.83,94,38,12.57,6216.5,0.6
2023-10-03,6225,0.0243,76.97,1218.0,0.0219,151,11622.08,98,53,12.43,6973.25,0.6
2023-10-04,6177,0.0283,79.48,1313.06,0.0247,175,13908.29,119,56,11.03,8344.98,0.6
2023-10-05,6021,0.0245,78.18,1159.7,0.0247,147,11491.85,101,46,11.48,6895.11,0.6
2023-10-06,6159,0.022,80.25,1148.44,0.0348,135,10833.45,94,41,12.22,6500.07,0.6
2023-10-07,5272,0.0245,72.32,1303.5,0.0386,129,9329.77,88,41,14.81,5597.86,0.6
2023-10-08,5376,0.0245,81.59,1220.3,0.0295,131,10687.89,89,42,13.71,6412.74,0.6
2023-10-09,6290,0.0196,75.99,1198.14,0.0292,123,9346.52,90,33,13.31,5607.91,0.6
2023-10-10,6479,0.0249,85.38,1284.41,0.0304,161,13745.59,112,49,11.47,8247.35,0.6
2023-10-11,5918,0.0245,71.55,1202.96,0.0358,145,10375.34,99,46,12.15,6225.2,0.6
2023-10-12,6596,0.0264,83.68,1325.37,0.0254,174,14560.29,121,53,10.95,8736.17,0.6
2023-10-13,5784,0.0287,75.99,1268.79,0.0312,165,12538.28,117,48,10.84,7522.97,0.6
2023-10-14,5348,0.0273,71.74,1211.32,0.0349,145,10402.72,101,44,11.99,6241.63,0.6
2023-10-15,5500,0.0245,72.58,1344.4,0.0325,134,9725.8,93,41,14.46,5835.48,0.6
2023-10-16,6243,0.0228,73.4,1207.08,0.0309,142,10422.55,97,45,12.44,6253.53,0.6
2023-10-17,6066,0.0301,77.12,1275.29,0.035,182,14035.99,124,58,10.28,8421.59,0.6
2023-10-18,6153,0.0251,77.61,1253.98,0.0165,154,11952.58,105,49,11.94,7171.55,0.6
2023-10-19,6100,0.025,72.13,1304.92,0.0334,152,10963.99,107,45,12.2,6578.39,0.6
2023-10-20,6085,0.025,74.88,1318.73,0.0267,151,11306.61,102,49,12.93,6783.97,0.6
2023-10-21,5577,0.0254,85.71,1243.08,0.0208,141,12085.3,99,42,12.56,7251.18,0.6
2023-10-22,5482,0.0247,83.64,1204.64,0.0326,135,11291.09,98,37,12.29,6774.65,0.6
2023-10-23,6077,0.0239,77.18,1266.13,0.0369,144,11114.15,101,43,12.54,6668.49,0.6
2023-10-24,6399,0.0239,75.19,1210.07,0.0293,152,11428.88,105,47,11.52,6857.33,0.6
2023-10-25,6285,0.0249,75.6,1345.45,0.0348,156,11793.62,105,51,12.81,7076.17,0.6
2023-10-26,6390,0.0239,78.07,1252.43,0.0381,152,11866.27,111,41,11.28,7119.76,0.6
2023-10-27,6358,0.0236,69.89,1228.16,0.0366,149,10413.02,100,49,12.28,6247.81,0.6
2023-10-28,5270,0.0252,73.71,1256.49,0.0382,132,9730.13,94,38,13.37,5838.08,0.6
2023-10-29,5328,0.0245,66.66,1180.72,0.0337,130,8665.42,92,38,12.83,5199.25,0.6
2023-10-30,6393,0.028,77.0,1200.32,0.0304,179,13782.3,124,55,9.68,8269.38,0.6
2023-10-31,6370,0.0197,78.24,1309.75,0.022,125,9779.5,86,39,15.23,5867.7,0.6
2023-11-01,6248,0.0272,72.58,1217.7,0.0288,169,12266.71,112,57,10.87,7360.02,0.6
2023-11-02,6280,0.0275,82.87,1199.03,0.0258,172,14253.63,121,51,9.91,8552.18,0.6
2023-11-03,6516,0.0209,68.87,1279.03,0.0409,135,9297.61,96,39,13.32,5578.56,0.6
2023-11-04,5346,0.0243,67.68,1312.31,0.0291,130,8798.16,88,42,14.91,5278.89,0.6
2023-11-05,5578,0.0243,76.12,1289.79,0.0306,135,10276.5,94,41,13.72,6165.9,0.6
2023-11-06,6232,0.0222,80.24,1304.47,0.0328,138,11072.5,96,42,13.59,6643.5,0.6
2023-11-07,6233,0.0234,83.42,1217.65,0.0302,146,12179.27,103,43,11.82,7307.56,0.6
2023-11-08,6501,0.0228,72.71,1185.23,0.0385,148,10760.43,103,45,11.51,6456.26,0.6
2023-11-09,6450,0.0285,80.39,1332.21,0.0269,183,14711.99,122,61,10.92,8827.2,0.6
2023-11-10,6452,0.0269,74.81,1241.83,0.031,173,12941.69,119,54,10.44,7765.01,0.6
2023-11-11,5755,0.0275,74.14,1246.25,0.0263,158,11713.62,111,47,11.23,7028.17,0.6
2023-11-12,5502,0.0264,79.42,1326.03,0.0234,145,11515.65,103,42,12.87,6909.39,0.6
2023-11-13,6438,0.0227,78.26,1288.25,0.0269,146,11426.2,100,46,12.88,6855.72,0.6
2023-11-14,6244,0.024,67.12,1284.06,0.0298,149,10000.59,110,39,11.67,6000.35,0.6
2023-11-15,6375,0.026,82.38,1370.34,0.0279,165,13593.15,109,56,12.57,8155.89,0.6
2023-11-16,6288,0.0226,81.9,1230.74,0.0265,141,11547.96,97,44,12.69,6928.78,0.6
2023-11-17,6338,0.0264,71.87,1310.13,0.023,167,12002.66,116,51,11.29,7201.59,0.6
2023-11-18,5641,0.0245,76.98,1267.41,0.0296,138,10623.1,96,42,13.2,6373.86,0.6
2023-11-19,5363,0.0243,77.47,1278.81,0.0225,130,10071.12,87,43,14.7,6042.67,0.6
2023-11-20,6749,0.0264,76.3,1342.63,0.1029,178,13582.0,126,52,10.66,8149.2,0.6
2023-11-21,6133,0.0259,72.25,1292.42,0.095,158,11415.26,111,47,11.64,6849.16,0.6
2023-11-22,6096,0.0243,71.64,1294.77,0.0808,148,10603.0,103,45,12.57,6361.8,0.6
2023-11-23,6575,0.0273,74.87,1322.31,0.0951,179,13402.13,126,53,10.49,8041.28,0.6
2023-11-24,6505,0.0228,80.86,1251.26,0.0979,148,11967.82,102,46,12.27,7180.69,0.6
2023-11-25,5676,0.0262,77.72,1228.37,0.1154,148,11502.26,98,50,12.53,6901.36,0.6
2023-11-26,5681,0.0262,73.15,1218.91,0.0367,148,10825.75,101,47,12.07,6495.45,0.6
2023-11-27,6357,0.0244,78.86,1173.66,0.0206,155,12223.07,108,47,10.87,7333.84,0.6
2023-11-28,6184,0.0257,60.76,1375.61,0.0306,158,9599.65,111,47,12.39,5759.79,0.6
2023-11-29,6383,0.0225,80.74,1218.47,0.0292,143,11546.37,100,43,12.18,6927.82,0.6
2023-11-30,6236,0.0268,66.3,1263.39,0.0334,167,11072.34,118,49,10.71,6643.4,0.6
2023-12-01,6571,0.0246,73.19,1261.43,0.0311,161,11783.24,110,51,11.47,7069.94,0.6
2023-12-02,5551,0.024,69.4,1291.47,0.0262,132,9161.02,92,40,14.04,5496.61,0.6
2023-12-03,5419,0.0271,68.53,1317.71,0.0284,146,10004.88,103,43,12.79,6002.93,0.6
2023-12-04,6324,0.0236,80.8,1320.77,0.026,149,12039.82,104,45,12.7,7223.89,0.6
2023-12-05,6475,0.0222,72.66,1249.42,0.0354,143,10390.59,96,47,13.01,6234.36,0.6
2023-12-06,6284,0.0219,76.73,1271.04,0.0301,137,10512.36,93,44,13.67,6307.41,0.6
2023-12-07,6236,0.0262,74.77,1294.35,0.0395,163,12186.76,116,47,11.16,7312.06,0.6
2023-12-08,6453,0.0224,77.39,1268.61,0.0297,144,11143.47,104,40,12.2,6686.08,0.6
2023-12-09,5658,0.0285,75.38,1362.24,0.0265,161,12136.84,116,45,11.74,7282.1,0.6
2023-12-10,5512,0.0208,68.59,1307.24,0.0224,114,7818.69,80,34,16.34,4691.22,0.6
2023-12-11,6323,0.0284,79.98,1320.26,0.021,179,14316.66,120,59,11.0,8590.0,0.6
2023-12-12,6468,0.0254,72.53,1317.48,0.0221,164,11895.12,114,50,11.56,7137.07,0.6
2023-12-13,6136,0.0248,67.22,1343.84,0.0313,152,10217.0,111,41,12.11,6130.2,0.6
2023-12-14,6148,0.0239,72.86,1295.04,0.0325,147,10710.34,104,43,12.45,6426.2,0.6
2023-12-15,6290,0.0258,82.5,1221.97,0.0221,162,13365.62,112,50,10.91,8019.37,0.6
2023-12-16,5595,0.0249,79.25,1307.62,0.0345,139,11015.9,99,40,13.21,6609.54,0.6
2023-12-17,5704,0.0272,73.26,1255.89,0.0276,155,11354.79,104,51,12.08,6812.88,0.6
2023-12-18,6741,0.0252,73.25,1262.85,0.0307,170,12453.13,116,54,10.89,7471.88,0.6
2023-12-19,6622,0.0253,73.39,1319.43,0.0381,167,12256.43,113,54,11.68,7353.86,0.6
2023-12-20,6422,0.0243,85.38,1352.85,0.0345,155,13234.48,109,46,12.41,7940.69,0.6
2023-12-21,6454,0.0249,76.91,1292.82,0.0287,160,12305.55,114,46,11.34,7383.33,0.6
2023-12-22,6262,0.0256,77.15,1308.02,0.0255,160,12344.03,111,49,11.78,7406.42,0.6
2023-12-23,5663,0.0216,80.15,1378.52,0.0192,122,9778.47,83,39,16.61,5867.08,0.6
2023-12-24,5613,0.0223,76.19,1306.27,0.0264,125,9524.24,87,38,15.01,5714.55,0.6
2023-12-25,6539,0.0265,73.7,1425.14,0.0289,173,12750.93,119,54,11.98,7650.56,0.6
2023-12-26,6313,0.0253,74.02,1324.15,0.0251,160,11842.92,109,51,12.15,7105.75,0.6
2023-12-27,6587,0.0246,74.64,1208.67,0.0293,162,12092.0,114,48,10.6,7255.2,0.6
2023-12-28,6794,0.025,74.81,1335.19,0.0304,170,12718.36,116,54,11.51,7631.02,0.6
2023-12-29,6470,0.0257,78.64,1317.41,0.0289,166,13053.93,110,56,11.98,7832.36,0.6
2023-12-30,5776,0.0239,75.26,1363.66,0.0267,138,10385.84,92,46,14.82,6231.51,0.6
2023-12-31,5838,0.0234,78.66,1333.66,0.0308,136,10698.2,90,46,14.82,6418.92,0.6
